image,num_columns,confidence,recommended_psm,gutter_x_positions
0001_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0000.jpg,1,high,4,
0002_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0001.jpg,1,high,4,
0003_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0002.jpg,1,high,4,
0004_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0003.jpg,2,high,1,1021
0005_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0004.jpg,1,high,4,
0006_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0005.jpg,1,high,4,
0007_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0006.jpg,1,high,4,
0008_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0007.jpg,1,high,4,
0009_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0008.jpg,2,high,1,916
0010_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0009.jpg,1,high,4,
0011_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0010.jpg,2,high,1,541
0012_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0011_left.jpg,1,high,4,
0012_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0011_right.jpg,2,high,1,379
0013_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0012_left.jpg,2,high,1,468
0013_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0012_right.jpg,1,high,4,
0014_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0013_left.jpg,1,high,4,
0014_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0013_right.jpg,1,high,4,
0015_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0014_left.jpg,2,high,1,480
0015_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0014_right.jpg,1,high,4,
0016_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0015_left.jpg,2,high,1,474
0016_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0015_right.jpg,2,high,1,323
0017_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0016.jpg,2,high,1,832
0018_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0017.jpg,2,high,1,894
0019_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0018.jpg,1,high,4,
0020_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0019.jpg,1,high,4,
0021_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0020.jpg,1,high,4,
0022_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0021.jpg,1,high,4,
