image_path,item_id,filename,double_page,confidence,reason,aspect_ratio,gutter_score,consistency,microform_prior
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0001_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0000.jpg,usteledirec01083,0001_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0000.jpg,FALSE,high,single_page,1.187,0.069,0.333,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0002_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0001.jpg,usteledirec01083,0002_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0001.jpg,FALSE,high,single_page,1.197,0.004,0.333,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0003_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0002.jpg,usteledirec01083,0003_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0002.jpg,FALSE,high,single_page,1.195,0.057,0.833,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0004_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0003.jpg,usteledirec01083,0004_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0003.jpg,FALSE,high,single_page,1.198,0.078,0.5,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0005_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0004.jpg,usteledirec01083,0005_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0004.jpg,FALSE,high,single_page,1.194,0.036,0.5,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0006_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0005.jpg,usteledirec01083,0006_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0005.jpg,FALSE,high,single_page,1.194,0.026,0.5,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0007_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0006.jpg,usteledirec01083,0007_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0006.jpg,FALSE,high,single_page,1.19,0.043,0.667,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0008_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0007.jpg,usteledirec01083,0008_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0007.jpg,FALSE,high,single_page,1.207,0.049,0.333,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0009_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0008.jpg,usteledirec01083,0009_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0008.jpg,FALSE,high,single_page,0.937,0,0,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0010_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0009.jpg,usteledirec01083,0010_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0009.jpg,FALSE,high,single_page,1.193,0.015,0.333,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0011_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0010.jpg,usteledirec01083,0011_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0010.jpg,FALSE,high,single_page,0.839,0,0,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0012_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0011.jpg,usteledirec01083,0012_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0011.jpg,TRUE,high,double_page_spread,1.214,0.136,1,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0013_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0012.jpg,usteledirec01083,0013_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0012.jpg,TRUE,high,double_page_spread,1.209,0.148,1,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0014_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0013.jpg,usteledirec01083,0014_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0013.jpg,TRUE,high,double_page_spread,1.222,0.057,1,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0015_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0014.jpg,usteledirec01083,0015_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0014.jpg,TRUE,high,double_page_spread,1.207,0.144,1,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0016_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0015.jpg,usteledirec01083,0016_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0015.jpg,TRUE,high,double_page_spread,1.193,0.178,1,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0017_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0016.jpg,usteledirec01083,0017_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0016.jpg,FALSE,high,single_page,0.671,0,0,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0018_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0017.jpg,usteledirec01083,0018_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0017.jpg,FALSE,high,single_page,0.939,0,0,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0019_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0018.jpg,usteledirec01083,0019_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0018.jpg,FALSE,high,single_page,1.211,0.04,0.5,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0020_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0019.jpg,usteledirec01083,0020_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0019.jpg,FALSE,high,single_page,1.196,0.076,0.5,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0021_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0020.jpg,usteledirec01083,0021_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0020.jpg,FALSE,high,single_page,1.192,0.094,0.333,FALSE
output/arkansas_white_pages_and_yellow_pages_ca_usteledirec0/usteledirec01083/0022_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0021.jpg,usteledirec01083,0022_public:gdcmassbookdig:usteledirec01083:usteledirec01083_0021.jpg,FALSE,high,single_page,1.213,0.112,0.5,FALSE
