vessel_identity,section_title,subsection,item_label,value,details,canvas_fragment,image
1st Class Sloop,Tacking & Wearing,General,Signal & Conn,1,Qr Master,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Wheel,1,Qr Master,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Forecastleman,1,Wheel,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Messengers,2,,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Forecastle,1 B M & Nos 1 to 20,inclusive,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Fore Mast,"30, 29",M M,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Fore Top,"32, 52, 31, 51",Capt OS,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Main Mast,"158 B M; 92, 91, M M",In wearing to brail up & set Fore Trysail,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Marines,2 part 207 to 216,inclusive,,0001_service:mss:mss23044:mss23044-022:01:0224.jpg
1st Class Sloop,Tacking & Wearing,General,Main Top,60,Captain,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,OS,70,Main Top,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Main Top,59,Captain,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,OS,69,Main Top,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Mizen Top Bowline & weather & Jack Braces,"124, 123",both AG & OS,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Miz Top 2 part,103 to 110,inclusive,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Messengers,153 to 156,inclusive,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Miz Top 1st part,"95, 96, 99, 100, 101, 102","Man Lee Miz T-sail, Top Gallt & Royal Braces",,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Main Brace,"118, 117",Capts AG,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,"Main T-sail, Top Gallt & Royal Braces","164, 163","Qr [See AG 134, 133]",,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,weather Main Brace,"117, 118, 135, 136, 137, 138, 139, 140, 141, 142",AG,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Marines,196 to 204,inclusive,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Stopper Main Brace,"98, 97",both OS of Miz Top,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,"weather Main T-sail, Top Gallt, & Royal Braces","61 to 68, 71, 72",MT 1 part inclusive,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Marines,"205, 206, 217, 218, 219","then to weather Fore T-sail, Top Gallt & Royal Braces",,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Mizen Mast,159,BM,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Mizen Mast,"134, 133",Miz Top,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Miz Top,94,both Capts,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,Tacking & Wearing,General,Spanker Sheet & Vang,"97, 98",Miz Top,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,General Duty,General,Marines,195,Sergt,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,General Duty,General,Cabin,180,Capt Stewd,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,General Duty,General,Berth Deck,175,Mast Arms,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,General Duty,General,Berth Deck,176,Ordy Sergt,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,General Duty,General,Berth Deck,177,Surgeon Stewd,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
1st Class Sloop,General Duty,General,Store Rooms,181,Yeo,,0002_service:mss:mss23044:mss23044-022:01:0225.jpg
Frigate,Watch-bill,Forecastle,Capt,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Cox,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Seamen,6,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,OS,6,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Land,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Capt,1,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Sea,7,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,OS,6,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Land,1,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Capt,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Cox,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Sea,6,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,OS,6,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Land,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Capt,1,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Sea,7,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,OS,6,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Forecastle,Land,1,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Mastmen,Seamen,4,"2 in each watch, 1 in each part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
