category,category_en,entry_type,title_de,title_en,yield,text,text_en,serving_suggestions,serving_suggestions_en,canvas_fragment,image
,,general_instruction,Steiger's Deutsch-amerikanisches Kochbuch für kleinere Familien,Steiger's German-American Cookbook for smaller families,,"Praktische Anweisung, auf deutsche Weise gut, schmackhaft, abwechselnd und sparsam zu kochen. Mit Berücksichtigung amerikanischer Nahrungsmittel und Angabe der englischen Ausdrücke.","Practical instructions for cooking in the German manner: well, tasty, varied, and economically. With consideration of American food products and the inclusion of English terms.",,,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0007,0007_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0007.jpg
Gemüse,Vegetables,general_instruction,Das Kochen der frischen Gemüse,,,"Um nahrhafte Gemüse zu erhalten, darf man dieselben, nachdem sie geputzt und alle faulen und unreifen Theile ausgeschnitten sind, nicht wässern, sondern blos schnell abwaschen. Das Wässern entzieht dem Gemüse die Nährsalze und dessen eigenthümlichen Wohlgeschmack. Wurzelgewächse und Knollen werden nach dem Zerschneiden noch einmal gewaschen. Rüben und Möhren werden beim Stehen an der Luft leicht trocken und schwärzlich; diese muß man nach dem Zerschneiden und Waschen noch so lange mit einem feuchten Tuche zudecken, bis sie gekocht werden sollen. Alle Kraut- und Kohlarten, Spinat und Zwiebeln sollten mit heißem Wasser abgebrüht werden, d. h. in einem offenen Gefäße mit reichlich Wasser einige Male ordentlich aufwallen. Setzt man dem Wasser eine kleine Messerspitze Natron (bi-carbonate of soda) hinzu, so werden die Gemüse nicht nur verdaulicher, indem sie ihre blähende Wirkung verlieren, sondern das spätere Weichkochen wird auch bedeutend befördert. Das zum Abbrühen der Gemüse benutzte Wasser muß weggeschüttet werden. Zum Kochen der Gemüse nimmt man stets Wasser, das bereits vorher kochend gemacht ist, und schüttet die Gemüse nur nach und nach hinein, damit es gehörig fortkocht, d. h. immer sogleich wieder ins Kochen kommt. Die zum Abtropfen aufs Sieb gelegten abgewaschenen Gemüse nimmt man deshalb nur schaumlöffelweise vom Siebe und läßt nach jeder solchen Portion das Ganze wieder ins Kochen kommen, ehe man eine neue Portion folgen läßt. Schmackhaft werden feinere Gemüse allemal besser durch Butter, als durch Fett. Es genügt aber auch für diesen Zweck, wenn man zu den mit Fett gekochten Gemüsen, kurz vor dem Anrichten, etwas Butter hinzufügt. Die Kraut- und Kohlarten kocht man mit Nierenfett, Sauerkraut mit Schweine- oder Gänsefett, Rothkohl mit Speck oder Nierenfett, Spinat und dergleichen Blattgemüse wohl auch mit","To obtain nutritious vegetables, one must not soak them after they have been cleaned and all rotten or unripe parts have been cut out, but merely wash them quickly. Soaking deprives the vegetables of their nutritive salts and their characteristic flavor. Root vegetables and tubers are washed again after being cut. Turnips and carrots easily become dry and blackish when left in the air; these must be covered with a damp cloth after cutting and washing until they are to be cooked. All types of cabbage and kale, spinach, and onions should be scalded with hot water, i.e., brought to a proper boil a few times in an open vessel with plenty of water. If one adds a small pinch of baking soda (bi-carbonate of soda) to the water, the vegetables not only become more digestible by losing their flatulent effect, but the subsequent softening is also significantly promoted. The water used for scalding the vegetables must be poured away. For cooking vegetables, always use water that has already been brought to a boil, and add the vegetables only gradually so that it continues to boil properly, i.e., always returns to a boil immediately. The washed vegetables placed on a sieve to drain should therefore be taken from the sieve only by the skimmerful, and after each such portion, the whole should be allowed to return to a boil before adding a new portion. Finer vegetables are always tastier when prepared with butter rather than fat. However, it is also sufficient for this purpose if one adds a little butter to vegetables cooked with fat shortly before serving. Cabbage and kale types are cooked with kidney fat, sauerkraut with pork or goose fat, red cabbage with bacon or kidney fat, spinach and similar leafy vegetables also with",,,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0011,0068_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0076.jpg
Gemüse,Vegetables,general_instruction,Das Kochen der frischen Gemüse,Cooking Fresh Vegetables,,"Bratenfett. Das Salz streut man gleichmäßig über das bereits halb weichgekochte Gemüse, deckt dieses dann zu und läßt es weiter kochen. Nur die grünen Blattgemüse, wie Spinat, Kohl und dergleichen, welche nicht zu lange gekocht werden dürfen, wenn sie ihre grüne Farbe behalten sollen, werden sofort mit Salz angesetzt, beim Kochen nicht zugedeckt, und nach dem Kochen nicht an die Luft gestellt. Beim Umrühren müssen manche Gemüse geschont werden, damit sie nicht breiartig werden. In diesem Falle läßt man das Rühren und schwenkt statt dessen nur das Gefäß. Alle Zuthaten, wie Butter, Fett, Zucker u. s. w. füge man dem Gemüse bei, wenn es anfängt zu kochen. Wo Petersilie zugefügt werden soll, darf dies erst vor dem Anrichten geschehen, da sie sonst Farbe und Geschmack verliert. Benutzt man Speck, so schneidet man denselben in Würfel, bratet ihn mit etwas Mehl und etwas fein= geschnittenen Zwiebeln gelb und kocht das Gemüse hiermit durch. Auch benutzt man anstatt Buttermehl eine Sauce, bestehend aus auf dem Feuer abgerührter Butter mit 1 Eßlöffel feingeschnittener Zwiebel, 1 Eßlöffel Mehl, etwas feingehackter Petersilie und Fleischbrühe, was ales 4 Stunde dämpfen muß. An junges Gemüse nimmt man statt Mehl in Butter geröstete Semmelkrumen. Mit dem Zusatz von Mehl muß man überhaupt sehr sparsam sein, denn es verdeckt den Geschmack des Gemüses und verdirbt auch das appetitliche Aussehen desselben. Brannte ein Gemüse beim Kochen an, so versuche man nicht, durch Ausgießen von Flüssigkeiten den Schaden zu verbessern. Ohne Zeitverlust schütte man das Gemüse in ein anderes Gefäß, lasse den angebrannten Sak unberührt und gebe, wenn es nöthig ist, frische Sauce, Brühe u. s. w. dazu. Gekochte Gemüse lassen sich nicht lange aufbewahren, da dieselben sich leicht zersetzen, sauer wer= den. Im Sommer geht die Zersetzung noch schneller vor sich, als im Winter, und der Genuß solchen Gemüses verursacht gewöhnlich Diarrhöe. Selbst im Eisschrank sollten Gemüse nicht länger als 24 Stunden aufbewahrt werden.","Roasting fat. Salt should be sprinkled evenly over the vegetables once they are already half-cooked, then cover them and let them continue to cook. Only green leafy vegetables, such as spinach, cabbage, and the like, which must not be cooked too long if they are to retain their green color, should be salted immediately, left uncovered while cooking, and not exposed to air after cooking. When stirring, some vegetables must be handled carefully so they do not become mushy. In this case, stop stirring and instead just shake the vessel. Add all ingredients, such as butter, fat, sugar, etc., to the vegetables when they begin to cook. Where parsley is to be added, this should only be done just before serving, as it otherwise loses color and flavor. If using bacon, cut it into cubes, fry it with a little flour and some finely chopped onions until yellow, and cook the vegetables through with this. Instead of butter-flour, one can also use a sauce consisting of butter stirred over the fire with 1 tablespoon of finely chopped onion, 1 tablespoon of flour, some finely chopped parsley, and meat broth, which must all steam for 1/4 hour. For young vegetables, use breadcrumbs toasted in butter instead of flour. One must be very sparing with the addition of flour, as it masks the taste of the vegetables and also spoils their appetizing appearance. If a vegetable burns while cooking, do not try to fix the damage by pouring in liquids. Without losing time, pour the vegetables into another vessel, leave the burnt part untouched, and add fresh sauce, broth, etc., if necessary. Cooked vegetables cannot be kept for long, as they decompose easily and turn sour. In summer, decomposition happens even faster than in winter, and consuming such vegetables usually causes diarrhea. Even in an icebox, vegetables should not be kept for longer than 24 hours.",,,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0012,0069_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0077.jpg
Gemüse,Vegetables,general_instruction,Der Spargel und seine Zubereitung,Asparagus and its Preparation,,"Dieses schon von den alten Aegyptern cultivirte Gemüse ist noch heute wie schon vor 1800 Jahren der römische Gelehrte Plinius ihn bezeichnete „die zuträg= lichste Speise für den Magen"". Keine Frau sollte es verschmä=","This vegetable, already cultivated by the ancient Egyptians, is still today, just as the Roman scholar Pliny described it 1800 years ago, 'the most wholesome food for the stomach.' No woman should disdain it...",,,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0012,0069_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0077.jpg
Gemüse,Vegetables,general_instruction,Das Kochen der frischen Gemüse,,,"hen, den Spargel mit eigener Hand zu schälen. Denn im Schälen liegt das Kunststück. Man hält den Spargel in der linken Hand und schält ihn mit nicht zu scharfem Messer der Länge nach vom Kopf bis zum Ende so, daß die abgeschälte Haut nach unten hin allmählich dicker wird. Die Köpfchen müſſen geschont, die glänzende, zähe, bitter schmeckende Haut jedoch entfernt werden. Es ist ein falsches Vorurtheil, daß solches Verfahren Verschwendung ist, denn was man sich scheute, in der Küche abzuschälen, bleibt im Speisezimmer auf den Tellern liegen. Die beste Zeit für Spargel ist im Mai und Juni.","to peel the asparagus with one's own hand. For the art lies in the peeling. One holds the asparagus in the left hand and peels it lengthwise with a not-too-sharp knife from the head to the end, so that the peeled skin gradually becomes thicker towards the bottom. The heads must be spared, but the shiny, tough, bitter-tasting skin must be removed. It is a false prejudice that such a procedure is wasteful, for what one was afraid to peel off in the kitchen remains on the plates in the dining room. The best time for asparagus is in May and June.",,,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0013,0070_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0078.jpg
Gemüse,Vegetables,recipe,Gekochter Spargel,Boiled Asparagus,2 portions,"1 Pfund Spargel wird geschält, die harten Stücke, wenn solche vorhanden, werden entfernt. Hierauf wird der Spargel abgespült in Bündelchen von 10–12 Stück zusammengebunden, und in kochendem, gesalzenem Wasser ½ bis ¾ Stunde gekocht. Dann nimmt man die Bündelchen heraus, zerschneidet den Faden und ordnet den Spargel auf einer gewärmten Schüssel mit den Köpfchen einwärts gelegt. Man kann den Spargel mit etwas fein gestoßenem Zwieback bestreuen und mit heißer Butter begießen oder man nimmt 2 Eßlöffel Butter, 1½ Eßlöffel Mehl, läßt beides zusammen in der Pfanne schwitzen, aber ja nicht gelb werden, rührt es mit etwas Spargelwasser zu einer sämigen Sauce, fügt 1 Eigelb, ein wenig Muskatnuß oder Citrone je nach Geschmack bei und schüttet die Sauce über den angerichteten Spargel.","1 pound of asparagus is peeled, the hard pieces, if any, are removed. Then the asparagus is rinsed, tied into bundles of 10–12 pieces, and boiled in boiling, salted water for ½ to ¾ of an hour. Then one takes out the bundles, cuts the thread, and arranges the asparagus on a warmed dish with the heads pointing inward. One can sprinkle the asparagus with some finely crushed rusk and pour hot butter over it, or one takes 2 tablespoons of butter, 1½ tablespoons of flour, lets both sweat together in the pan, but by no means let them turn yellow, stirs it with some asparagus water into a creamy sauce, adds 1 egg yolk, a little nutmeg or lemon according to taste, and pours the sauce over the arranged asparagus.","Man gibt Schinken, Cervelatwurst, geräucherten Lachs, Cotelets, Kalbsbraten, Fricadellen oder Salzkartoffeln dazu.","Serve with ham, cervelat sausage, smoked salmon, cutlets, roast veal, meatballs, or boiled potatoes.",https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0013,0070_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0078.jpg
Gemüse,Vegetables,recipe,Spargel mit jungen Erbsen,Asparagus with Green Peas,2 portions,"Man nimmt 1 Pfund dünnen Spargel, reinigt und schneidet denselben in kleine Stücke ; diese werden in kochendem Salzwasser weich gekocht und auf ein Sieb zum Abtropfen gebracht. 1 Tasse junge, grüne Erbsen werden mit etwas Butter, Fleischbrühe, 1 Theelöffel Zucker und etwas Salz weich gedünstet; dann wird der Spargel zugemengt und etwas von dem Spargelwasser daran gegossen. Hierauf macht man die Sauce mit etwas geriebenen Semmelkrummen sämig und schwenkt zuletzt etwas feingehackte Petersilie durch.","Take 1 pound of thin asparagus, clean and cut it into small pieces; these are boiled until soft in boiling salted water and placed on a sieve to drain. 1 cup of young green peas are stewed until soft with some butter, meat broth, 1 teaspoon of sugar, and some salt; then the asparagus is mixed in and some of the asparagus water is poured over it. Then thicken the sauce with some grated breadcrumbs and finally toss in some finely chopped parsley.",Hierzu gibt man Omelets oder ein junges gebratenes Huhn.,Serve with omelets or a young roasted chicken.,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0013,0070_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0078.jpg
Gemüse,Vegetables,recipe,Spinat,Spinach,2 portions,"Spinat enthält viel Kalk, Natron und 0.07% Eisen. Dieses leichtverdauliche Gemüse, dessen Heimath Persien ist, kam 1525 durch die Spanier nach Amerika. --- Von 1 Quart Spinat werden die Blätter von den Stielen abgestreift, 2 oder 3 mal schnell abgewaschen und in reichlich Wasser mit einem kleinen Stückchen Soda 5 Minuten in einem offenen Topfe gekocht, worauf man ihn auf einen Durchschlag schüttet, mit kaltem Wasser übergießt, gut ausdrückt und dann recht fein hackt. Dann wird eine fein gewiegte Zwiebel in Butter gedünstet, ½ Tasse Milch, Salz, ein wenig Muskat und der Spinat hinzugethan und ½ Stunde langsam gekocht.","Spinach contains much lime, soda, and 0.07% iron. This easily digestible vegetable, whose home is Persia, came to America in 1525 via the Spanish. --- From 1 quart of spinach, the leaves are stripped from the stems, washed quickly 2 or 3 times, and boiled in plenty of water with a small piece of soda for 5 minutes in an open pot, whereupon it is poured into a colander, rinsed with cold water, squeezed out well, and then chopped quite finely. Then a finely minced onion is sautéed in butter, ½ cup of milk, salt, a little nutmeg, and the spinach are added and cooked slowly for ½ hour.","Beim Anrichten garnirt man die Schüssel mit halb durchgeschnittenen, pflaumenweich gekochten Eiern. Man gibt Cotelets, Rindszungen oder auch aufgebratenes Rindfleisch mit gebratenen Kartoffeln dazu.","When serving, garnish the dish with halved, soft-boiled eggs. Serve with cutlets, beef tongue, or fried beef with roasted potatoes.",https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0014,0071_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0079.jpg
Gemüse,Vegetables,recipe,Spinatstrudel,Ravioli,2 portions,"Von 4 Eiern, 4 Eßlöffeln Mehl, 1 Pint Milch und Salz wird ein Pfannkuchenteig gemacht und davon ganz dünne Eierkuchen gebacken. Diese werden fingerdick mit dem nach oben angegebener Weise gekochten Spinat überstrichen, zusammengerollt, mit Butter überstrichen und in eine mit Butter gestrichene Pfanne gelegt. ½ Stunde vor dem Serviren werden die Kuchen in die Röhre gestellt, sobald sie Farbe haben, mit Rahm übergossen, zugedeckt, schnell eingekocht und angerichtet.","From 4 eggs, 4 tablespoons of flour, 1 pint of milk, and salt, a pancake batter is made and very thin pancakes are baked from it. These are spread finger-thick with the spinach cooked in the manner indicated above, rolled up, brushed with butter, and placed in a buttered pan. ½ hour before serving, the cakes are placed in the oven; as soon as they have color, they are poured over with cream, covered, quickly reduced, and served.","Man kann geräucherten Lachs, Hammelcotelets, Bratwürste oder aufgeschnittenes kaltes Fleisch dazu geben.","You can serve smoked salmon, mutton cutlets, sausages, or sliced cold meat with this.",https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0014,0071_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0079.jpg
Gemüse,Vegetables,recipe,Spinat mit Sauerampfer,Spinach with Sorrel,,"Um dem Spinat einen etwas kräftigeren Geschmack zu geben, nimmt man 2 Handvoll Sauerampfer dazu, hackt diesen mit dem Spinat und macht es fertig, wie oben bei „Spinat"" angegeben.","To give the spinach a somewhat stronger flavor, take 2 handfuls of sorrel, chop it with the spinach, and finish it as indicated above under ""Spinach"".",,,https://tile.loc.gov/image-services/iiif/public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0014,0071_public:gdcmassbookdig:steigersgermanam00schr:steigersgermanam00schr_0079.jpg
